Strain ID;Systematic gene name;Allele/Gene name;Single mutant fitness (26°);Single mutant fitness (26°) stddev;Single mutant fitness (30°);Single mutant fitness (30°) stddev;;;;;
YAL043C_damp180;YAL043C;pta1_damp;1,009;0,0598;1,009;0,0598;;;;;
YAL043C_tsq1367;YAL043C;pta1-5001;1,0089;0,0063;0,9155;0,0125;;;;;
YAL044C_sn4411;YAL044C;gcv3;0,817;0,0968;0,817;0,0968;;;;;
YAL044W-A_sn3086;YAL044W-A;yal044w-a;1,0115;0,044;1,0115;0,044;;;;;
YAL045C_dma41;YAL045C;yal045c;0,98;0,01;0,98;0,01;;;;;
YAL046C_dma5216;YAL046C;aim1;0,9525;0,1063;0,9525;0,1063;;;;;
YAL046C_sn3087;YAL046C;aim1;0,9525;0,1063;0,9525;0,1063;;;;;
YAL048C_dma5203;YAL048C;gem1;0,869;0,1403;0,869;0,1403;;;;;
YAL048C_sn533;YAL048C;gem1;0,869;0,1403;0,869;0,1403;;;;;
YAL049C_dma40;YAL049C;aim2;1,0105;0,0445;1,0105;0,0445;;;;;
YAL049C_sn3422;YAL049C;aim2;1,0105;0,0445;1,0105;0,0445;;;;;
YAL051W_dma39;YAL051W;oaf1;0,9767;0,1238;0,9767;0,1238;;;;;
YAL051W_sn1911;YAL051W;oaf1;0,9767;0,1238;0,9767;0,1238;;;;;
YAL053W_dma38;YAL053W;flc2;0,9782;0,1159;0,9782;0,1159;;;;;
YAL053W_sn640;YAL053W;flc2;0,9782;0,1159;0,9782;0,1159;;;;;
YAL054C_dma37;YAL054C;acs1;0,9985;0,0689;0,9985;0,0689;;;;;
YAL054C_sn2738;YAL054C;acs1;0,9985;0,0689;0,9985;0,0689;;;;;
YAL055W_dma59;YAL055W;pex22;0,8815;0,1211;0,8815;0,1211;;;;;
YAL055W_sn380;YAL055W;pex22;0,8815;0,1211;0,8815;0,1211;;;;;
YAL056C-A_dma57;YAL056C-A;yal056c-a;NaN;NaN;0,96623;0,045266;;;;;
YAL056W_dma58;YAL056W;gpb2;1,0457;0,0745;1,0457;0,0745;;;;;
YAL056W_sn2724;YAL056W;gpb2;1,0457;0,0745;1,0457;0,0745;;;;;
YAL058W_dma56;YAL058W;cne1;0,9683;0,0402;0,9683;0,0402;;;;;
YAL058W_sn2203;YAL058W;cne1;0,9683;0,0402;0,9683;0,0402;;;;;
YAL059W_dma55;YAL059W;ecm1;1,0355;0,034;1,0355;0,034;;;;;
YAL059W_sn3907;YAL059W;ecm1;1,0355;0,034;1,0355;0,034;;;;;
YAL060W_dma54;YAL060W;bdh1;1,0108;0,0762;1,0108;0,0762;;;;;
YAL061W_dma53;YAL061W;bdh2;1,0365;0,0319;1,0365;0,0319;;;;;
YAL061W_sn2617;YAL061W;bdh2;1,0365;0,0319;1,0365;0,0319;;;;;
YAL062W_dma52;YAL062W;gdh3;1,006;0,04;1,006;0,04;;;;;
YAL062W_sn4337;YAL062W;gdh3;1,006;0,04;1,006;0,04;;;;;
YAL063C_sn827;YAL063C;flo9;1,062;0,0668;1,062;0,0668;;;;;
YAL063C-A_sn4630;YAL063C-A;yal063c-a;1,0015;0,0103;1,0015;0,0103;;;;;
YAL064C-A_dma51;YAL064C-A;tda8;1,0075;0,0595;1,0075;0,0595;;;;;
YAL064C-A_sn3088;YAL064C-A;tda8;1,0075;0,0595;1,0075;0,0595;;;;;
YAL064W_sn3089;YAL064W;yal064w;1,06;0,0655;1,06;0,0655;;;;;
YAL065C_dma50;YAL065C;yal065c;1,0132;0,0223;1,0132;0,0223;;;;;
YAL066W_dma49;YAL066W;yal066w;0,9625;0,0123;0,9625;0,0123;;;;;
YAL067C_dma71;YAL067C;seo1;1,0197;0,0432;1,0197;0,0432;;;;;
YAL067C_sn2236;YAL067C;seo1;1,0197;0,0432;1,0197;0,0432;;;;;
YAL067W-A_sn4631;YAL067W-A;yal067w-a;1,0415;0,0152;1,0415;0,0152;;;;;
YAL068C_dma70;YAL068C;pau8;1,0217;0,0448;1,0217;0,0448;;;;;
YAL068C_sn4679;YAL068C;pau8;1,0217;0,0448;1,0217;0,0448;;;;;
YAR002C-A_dma69;YAR002C-A;erp1;1,0065;0,0427;1,0065;0,0427;;;;;
YAR002W_dma68;YAR002W;nup60;0,989;0,1417;0,989;0,1417;;;;;
YAR002W_sn1908;YAR002W;nup60;0,989;0,1417;0,989;0,1417;;;;;
YAR003W_dma67;YAR003W;swd1;0,8655;0,0397;0,8655;0,0397;;;;;
YAR003W_sn1799;YAR003W;swd1;0,8655;0,0397;0,8655;0,0397;;;;;
YAR007C_tsa273;YAR007C;rfa1-m2;0,8745;0,0176;0,8691;0,0396;;;;;
YAR014C_dma66;YAR014C;bud14;0,8958;0,1058;0,8958;0,1058;;;;;
YAR014C_sn784;YAR014C;bud14;0,8958;0,1058;0,8958;0,1058;;;;;
YAR015W_dma65;YAR015W;ade1;1,005;0,0073;1,005;0,0073;;;;;
YAR018C_dma64;YAR018C;kin3;0,9333;0,1076;0,9333;0,1076;;;;;
YAR018C_sn1226;YAR018C;kin3;0,9333;0,1076;0,9333;0,1076;;;;;
YAR019C_damp183;YAR019C;cdc15_damp;0,5765;0,0348;0,5765;0,0348;;;;;
YAR019C_tsa821;YAR019C;cdc15-1;0,9859;0,0234;0,7361;0,2283;;;;;
YAR019C_tsa882;YAR019C;cdc15-2;0,842;0,01;0,6584;0,0554;;;;;
YAR019C_tsq1185;YAR019C;cdc15-1;0,9859;0,0234;0,7361;0,2283;;;;;
YAR020C_dma63;YAR020C;pau7;1,0217;0,0262;1,0217;0,0262;;;;;
YAR023C_dma62;YAR023C;yar023c;1,0037;0,0169;1,0037;0,0169;;;;;
YAR023C_sn4681;YAR023C;yar023c;1,0037;0,0169;1,0037;0,0169;;;;;
YAR027W_dma61;YAR027W;uip3;1,0057;0,0721;1,0057;0,0721;;;;;
YAR027W_sn3713;YAR027W;uip3;1,0057;0,0721;1,0057;0,0721;;;;;
YAR028W_dma83;YAR028W;yar028w;1,038;0,0523;1,038;0,0523;;;;;
YAR028W_sn3091;YAR028W;yar028w;1,038;0,0523;1,038;0,0523;;;;;
YAR029W_dma82;YAR029W;yar029w;0,8395;0,2407;0,8395;0,2407;;;;;
YAR029W_sn3423;YAR029W;yar029w;0,8395;0,2407;0,8395;0,2407;;;;;
YAR030C_dma81;YAR030C;yar030c;0,9875;0,0163;0,9875;0,0163;;;;;
YAR031W_dma80;YAR031W;prm9;1,0117;0,034;1,0117;0,034;;;;;
YAR031W_sn516;YAR031W;prm9;1,0117;0,034;1,0117;0,034;;;;;
YAR033W_sn4682;YAR033W;mst28;1,052;0,0347;1,052;0,0347;;;;;
YAR035C-A_sn4632;YAR035C-A;yar035c-a;1,0095;0,0172;1,0095;0,0172;;;;;
YAR035W_dma79;YAR035W;yat1;1,0195;0,0714;1,0195;0,0714;;;;;
YAR035W_sn2489;YAR035W;yat1;1,0195;0,0714;1,0195;0,0714;;;;;
YAR037W_dma78;YAR037W;yar037w;1,035;0,0078;1,035;0,0078;;;;;
YAR040C_dma77;YAR040C;yar040c;1,0235;0,0095;1,0235;0,0095;;;;;
YAR042W_dma76;YAR042W;swh1;1,023;0,0655;1,023;0,0655;;;;;
YAR042W_sn3004;YAR042W;swh1;1,023;0,0655;1,023;0,0655;;;;;
YAR043C_dma75;YAR043C;yar043c;1,0275;0,0173;1,0275;0,0173;;;;;
YAR044W_dma74;YAR044W;yar044w;0,968;0,0082;0,968;0,0082;;;;;
YAR047C_dma73;YAR047C;yar047c;0,98;0,0135;0,98;0,0135;;;;;
YAR050W_dma95;YAR050W;flo1;1,0175;0,0454;1,0175;0,0454;;;;;
YAR050W_sn824;YAR050W;flo1;1,0175;0,0454;1,0175;0,0454;;;;;
YAR066W_sn3095;YAR066W;yar066w;1,022;0,0357;1,022;0,0357;;;;;
YAR068W_sn3096;YAR068W;yar068w;0,9875;0,0186;0,9875;0,0186;;;;;
YAR071W_sn2924;YAR071W;pho11;1,071;0,0077;1,071;0,0077;;;;;
YAR073W_sn4310;YAR073W;imd1;0,722;0,1195;0,722;0,1195;;;;;
YAR075W_sn4296;YAR075W;yar075w;0,9755;0,0542;0,9755;0,0542;;;;;
YBL001C_dma94;YBL001C;ecm15;1,023;0,0447;1,023;0,0447;;;;;
YBL001C_sn720;YBL001C;ecm15;1,023;0,0447;1,023;0,0447;;;;;
