gene_name	number_of_transposon_per_gene	number_of_read_pergene
OM14 	3 	3 	
YBR230W-A 	10 	300 	
SWC5 	24 	709 	
YBR232C 	10 	85 	
PBP2 	31 	336 	
DAD3 	0 	0 	
ARC40 	0 	0 	
VHC1 	48 	2488 	
ABD1 	1 	0 	
PRP5 	1 	0 	
YBR238C 	20 	664 	
ERT1 	60 	3088 	
THI2 	45 	2880 	
YBR241C 	55 	3690 	
YBR242W 	14 	989 	
ALG7 	2 	4 	
GPX2 	7 	376 	
ISW1 	48 	1349 	
RRT2 	13 	636 	
ENP1 	2 	1 	
HIS7 	32 	807 	
ARO4 	14 	312 	
SPO23 	32 	958 	
MRPS5 	11 	380 	
DUT1 	1 	0 	
SRB6 	5 	44 	
TRS20 	0 	0 	
MTC4 	13 	512 	
YBR255C-A 	6 	363 	
RIB5 	5 	54 	
POP4 	0 	0 	
SHG1 	8 	79 	
YBR259W 	27 	1245 	
RGD1 	18 	787 	
TAE1 	13 	467 	
MIC12 	4 	30 	
SHM1 	21 	903 	
YPT10 	10 	144 	
TSC10 	1 	0 	
REI1 	19 	604 	
SLM6 	6 	227 	
MRPL37 	5 	100 	
FMP21 	8 	150 	
BIT2 	17 	549 	
EFM2 	13 	677 	
HSM3 	13 	340 	
UBX7 	12 	196 	
CHK1 	15 	584 	
RIF1 	26 	762 	
PPS1 	34 	1653 	
YBR277C 	13 	124 	
DPB3 	8 	187 	
PAF1 	6 	14 	
SAF1 	23 	726 	
DUG2 	30 	838 	
MRPL27 	8 	54 	
SSH1 	14 	442 	
YBR284W 	62 	3642 	
YBR285W 	2 	5 	
APE3 	32 	1317 	
YBR287W 	23 	1179 	
APM3 	16 	286 	
SNF5 	26 	591 	
BSD2 	8 	203 	
CTP1 	47 	4521 	
YBR292C 	9 	76 	
VBA2 	24 	1615 	
SUL1 	28 	982 	
PCA1 	57 	2426 	
PHO89 	31 	1860 	
YBR296C-A 	5 	8 	
MAL33 	30 	1684 	
MAL31 	25 	1165 	
YBR298C-A 	15 	381 	
MAL32 	8 	486 	
YBR300C 	2 	5 	
PAU24 	3 	15 	
COS2 	0 	0 	
YCL076W 	1 	0 	
GEX1 	9 	90 	
VBA3 	1 	0 	
YCL068C 	1 	0 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	0 	0 	
CHA1 	3 	9 	
VAC17 	21 	700 	
MRC1 	18 	443 	
KRR1 	1 	0 	
FYV5 	14 	633 	
ADF1 	7 	241 	
MIC10 	11 	360 	
PRD1 	29 	1402 	
PEX34 	15 	188 	
KAR4 	15 	457 	
SPB1 	10 	37 	
PBN1 	9 	165 	
LRE1 	37 	3444 	
APA1 	15 	701 	
YCL049C 	31 	1126 	
YCL048W-A 	4 	196 	
SPS22 	36 	2705 	
POF1 	15 	502 	
EMC1 	45 	2093 	
YCL046W 	5 	14 	
MGR1 	35 	2120 	
PDI1 	6 	58 	
YCL041C 	27 	298 	
YCL042W 	33 	1138 	
GLK1 	96 	8437 	
GID7 	77 	5482 	
ATG22 	54 	1804 	
SRO9 	42 	3300 	
GFD2 	81 	6362 	
GRX1 	8 	267 	
LSB5 	67 	8111 	
MXR2 	17 	472 	
STE50 	36 	2601 	
RRP7 	0 	0 	
HIS4 	73 	2559 	
BIK1 	66 	5283 	
RNQ1 	28 	2397 	
FUS1 	60 	4368 	
HBN1 	20 	276 	
FRM2 	31 	1278 	
AGP1 	90 	7611 	
YCL023C 	25 	2326 	
KCC4 	218 	16483 	
YCL022C 	42 	3995 	
YCL021W-A 	36 	3565 	
LEU2 	0 	0 	
NFS1 	1 	0 	
DCC1 	26 	1082 	
BUD3 	333 	31516 	
YCL012C 	36 	1411 	
GBP2 	96 	5236 	
SGF29 	76 	10013 	
ILV6 	73 	6848 	
STP22 	62 	3863 	
YCL007C 	6 	189 	
VMA9 	6 	84 	
LDB16 	50 	7397 	
PGS1 	86 	4499 	
YCL002C 	52 	7483 	
RER1 	30 	185 	
YCL001W-A 	6 	11 	
YCL001W-B 	24 	2159 	
YCR001W 	25 	3059 	
CDC10 	9 	14 	
MRPL32 	51 	3246 	
YCP4 	44 	1995 	
CIT2 	114 	14268 	
YCR006C 	27 	14518 	
YCR007C 	57 	5177 	
SAT4 	88 	7133 	
RVS161 	19 	171 	
ADY2 	57 	4761 	
ADP1 	152 	12781 	
PGK1 	1 	0 	
YCR013C 	5 	122 	
POL4 	78 	5171 	
YCR015C 	41 	4342 	
YCR016W 	48 	1826 	
CWH43 	114 	8084 	
SRD1 	18 	914 	
YCR018C-A 	10 	1217 	
MAK32 	55 	6399 	
PET18 	51 	3472 	
MAK31 	11 	300 	
HTL1 	0 	0 	
HSP30 	48 	3721 	
YCR022C 	35 	2786 	
YCR023C 	82 	4875 	
SLM5 	37 	1301 	
YCR024C-B 	14 	736 	
PMP1 	6 	19 	
YCR025C 	39 	3668 	
NPP1 	95 	4887 	
RHB1 	8 	170 	
FEN2 	32 	916 	
RIM1 	3 	2 	
SYP1 	47 	2055 	
RPS14A 	25 	1497 	
BPH1 	148 	8254 	
SNT1 	46 	3241 	
ELO2 	8 	115 	
RRP43 	1 	0 	
RBK1 	31 	1843 	
PHO87 	59 	3938 	
BUD5 	7 	93 	
YCR038W-A 	2 	4 	
MATALPHA2 	0 	0 	
MATALPHA1 	0 	0 	
YCR041W 	3 	216 	
TAF2 	11 	690 	
YCR043C 	17 	890 	
PER1 	1 	0 	
RRT12 	61 	3908 	
YCR045W-A 	21 	1052 	
IMG1 	20 	1142 	
BUD23 	16 	317 	
YCR047W-A 	6 	80 	
YCR049C 	14 	704 	
ARE1 	65 	4234 	
YCR050C 	9 	340 	
YCR051W 	18 	1588 	
RSC6 	4 	69 	
THR4 	18 	681 	
CTR86 	11 	354 	
PWP2 	7 	354 	
YIH1 	32 	1995 	
TAH1 	14 	872 	
YCR061W 	115 	8428 	
YCR064C 	16 	4024 	
BUD31 	10 	66 	
HCM1 	49 	3739 	
RAD18 	16 	215 	
SED4 	64 	2540 	
ATG15 	66 	2968 	
CPR4 	16 	736 	
IMG2 	14 	567 	
RSA4 	0 	0 	
SSK22 	75 	3357 	
SOL2 	27 	1268 	
ERS1 	12 	536 	
YCR075W-A 	3 	5 	
FUB1 	19 	913 	
PAT1 	20 	607 	
PTC6 	31 	979 	
SRB8 	40 	765 	
YCR081C-A 	3 	27 	
AHC2 	12 	158 	
TRX3 	7 	323 	
TUP1 	4 	18 	
YCR085W 	8 	21 	
CSM1 	18 	909 	
YCR087W 	9 	292 	
YCR087C-A 	7 	272 	
ABP1 	41 	2629 	
FIG2 	43 	2167 	
YCR090C 	11 	287 	
KIN82 	37 	2129 	
MSH3 	42 	2398 	
CDC39 	14 	245 	
CDC50 	18 	540 	
OCA4 	9 	270 	
YCR095W-A 	6 	104 	
HMRA2 	0 	0 	
HMRA1 	8 	118 	
YCR097W-A 	1 	0 	
GIT1 	19 	355 	
YCR099C 	3 	11 	
YCR100C 	8 	386 	
YCR101C 	8 	227 	
YCR102C 	20 	1073 	
YCR102W-A 	0 	0 	
PAU3 	4 	22 	
ADH7 	39 	2112 	
RDS1 	16 	996 	
AAD3 	12 	232 	
YCR108C 	9 	337 	
COS7 	1 	0 	
YDL247W-A 	0 	0 	
MPH2 	2 	3 	
SOR2 	0 	0 	
HXT15 	3 	5 	
THI13 	10 	393 	
AAD4 	26 	1089 	
YDL242W 	17 	1147 	
YDL241W 	5 	60 	
YDL240C-A 	12 	256 	
LRG1 	56 	2016 	
ADY3 	24 	659 	
GUD1 	28 	3098 	
AIM6 	11 	498 	
PHO13 	10 	415 	
YPD1 	2 	71 	
GYP7 	34 	867 	
MFG1 	16 	684 	
OST4 	0 	0 	
BRE4 	39 	1445 	
PTP1 	27 	720 	
SSB1 	11 	139 	
YDL228C 	4 	19 	
HO 	41 	2153 	
GCS1 	8 	111 	
SHS1 	15 	697 	
