gene_name	number_of_transposon_per_gene	number_of_read_pergene
YFR035C 	24 	2537 	
CDC26 	17 	442 	
YFR036W-A 	12 	306 	
RSC8 	11 	211 	
IRC5 	60 	3597 	
OSW7 	32 	1933 	
SAP155 	37 	1141 	
ERJ5 	36 	2593 	
KEG1 	0 	0 	
IRC6 	27 	874 	
DUG1 	61 	8467 	
YFR045W 	28 	1547 	
CNN1 	37 	793 	
BNA6 	21 	1238 	
RMD8 	61 	3801 	
YMR31 	8 	361 	
PRE4 	4 	74 	
RET2 	35 	3108 	
RPN12 	6 	32 	
YFR052C-A 	8 	69 	
HXK1 	26 	941 	
YFR054C 	6 	168 	
YFR056C 	12 	367 	
IRC7 	19 	737 	
YFR057W 	5 	85 	
COS12 	2 	1 	
YGL262W 	2 	1 	
PAU11 	0 	0 	
YGL260W 	0 	0 	
YPS5 	2 	1 	
YGL258W-A 	2 	1 	
VEL1 	6 	313 	
MNT2 	22 	1805 	
ADH4 	17 	677 	
ZRT1 	3 	2 	
FZF1 	33 	1458 	
HXK2 	32 	1240 	
RTG2 	12 	457 	
HFM1 	56 	1812 	
RMR1 	9 	207 	
ZIP2 	32 	2804 	
PDE1 	22 	1544 	
BRR6 	1 	0 	
RAI1 	0 	0 	
GUS1 	1 	0 	
RTF1 	19 	939 	
TAD1 	11 	281 	
YGL242C 	7 	383 	
KAP114 	26 	1169 	
DOC1 	5 	120 	
YGL239C 	7 	97 	
CSE1 	2 	24 	
HAP2 	20 	1473 	
MTO1 	63 	4135 	
YGL235W 	19 	1186 	
ADE5
SEC15 	4 	5 	
TAN1 	11 	743 	
EMC4 	6 	236 	
YGL230C 	1 	0 	
SAP4 	26 	688 	
SHE10 	19 	1023 	
VID30 	16 	460 	
OST5 	4 	6 	
MTC3 	9 	707 	
VRG4 	1 	0 	
SDT1 	12 	531 	
COG1 	11 	382 	
EDC1 	7 	126 	
NIF3 	8 	67 	
FRA2 	14 	457 	
MDM34 	5 	39 	
YGL218W 	1 	0 	
YGL217C 	6 	350 	
KIP3 	48 	2127 	
CLG1 	8 	225 	
YGL214W 	7 	187 	
SKI8 	13 	572 	
VAM7 	4 	26 	
NCS6 	16 	652 	
YPT32 	13 	416 	
MIG2 	12 	766 	
SIP2 	29 	966 	
SPT16 	1 	0 	
CHC1 	5 	113 	
POX1 	47 	2124 	
YGL204C 	3 	32 	
KEX1 	24 	404 	
ARO8 	46 	2551 	
MCM6 	3 	24 	
EMP24 	16 	282 	
YGL199C 	9 	170 	
YIP4 	11 	139 	
MDS3 	17 	326 	
DSD1 	14 	271 	
GCN1 	68 	1964 	
YGL194C-A 	3 	30 	
HOS2 	23 	339 	
YGL193C 	9 	27 	
IME4 	16 	339 	
COX13 	5 	117 	
CDC55 	4 	16 	
RPS26A 	2 	10 	
YGL188C-A 	0 	0 	
YGL188C 	6 	201 	
COX4 	8 	260 	
TPN1 	29 	1847 	
YGL185C 	27 	891 	
STR3 	42 	2780 	
MND1 	22 	954 	
YGL182C 	13 	342 	
GTS1 	28 	923 	
ATG1 	8 	272 	
TOS3 	31 	1431 	
MPT5 	34 	1424 	
YGL177W 	11 	306 	
YGL176C 	19 	626 	
SAE2 	8 	101 	
BUD13 	20 	975 	
XRN1 	22 	522 	
NUP49 	9 	148 	
ROK1 	3 	3 	
SPO74 	14 	174 	
SUA5 	3 	4 	
HUR1 	4 	100 	
PMR1 	8 	93 	
CUP2 	15 	661 	
YGL165C 	18 	396 	
YRB30 	18 	381 	
RAD54 	26 	610 	
SUT1 	12 	517 	
YIP5 	17 	658 	
AIM14 	22 	1445 	
YGL159W 	13 	207 	
RCK1 	19 	492 	
ARI1 	24 	1233 	
AMS1 	29 	1072 	
CDC43 	1 	0 	
LYS5 	14 	183 	
PEX14 	30 	1462 	
YGL152C 	27 	1012 	
NUT1 	54 	1381 	
INO80 	15 	814 	
YGL149W 	22 	920 	
ARO2 	13 	277 	
RPL9A 	4 	66 	
RRT6 	31 	1764 	
TIP20 	2 	2 	
ROG1 	26 	1326 	
MRF1 	24 	473 	
GPI10 	2 	1 	
HUL5 	38 	1717 	
YGL140C 	39 	1763 	
FLC3 	16 	548 	
YGL138C 	14 	372 	
SEC27 	11 	143 	
MRM2 	24 	1420 	
RPL1B 	2 	9 	
PCL10 	27 	1189 	
ITC1 	49 	2015 	
YGL132W 	2 	7 	
SNT2 	38 	1876 	
CEG1 	1 	0 	
RSM23 	7 	63 	
CWC23 	3 	34 	
SOH1 	5 	32 	
SCS3 	93 	17919 	
MET13 	48 	5083 	
MON1 	12 	160 	
RPS2 	1 	0 	
YGL123C-A 	0 	0 	
NAB2 	1 	0 	
GPG1 	14 	257 	
PRP43 	4 	44 	
COQ8 	19 	470 	
YGL118C 	17 	291 	
YGL117W 	18 	664 	
CDC20 	1 	0 	
SNF4 	22 	576 	
YGL114W 	27 	690 	
SLD3 	13 	469 	
TAF6 	1 	0 	
NSA1 	4 	20 	
CUE3 	42 	2650 	
YGL109W 	16 	779 	
YGL108C 	11 	329 	
RMD9 	13 	442 	
MLC1 	0 	0 	
ARC1 	15 	576 	
VPS73 	23 	895 	
RPL28 	0 	0 	
YGL102C 	0 	0 	
YGL101W 	6 	78 	
SEH1 	22 	1014 	
LSG1 	6 	30 	
USE1 	1 	0 	
SRM1 	4 	64 	
TOS8 	30 	1095 	
VPS45 	3 	26 	
PAN2 	32 	1424 	
SPC105 	28 	971 	
NUP145 	28 	1024 	
NBP35 	5 	83 	
LIF1 	29 	746 	
MF
YGL088W 	18 	331 	
MMS2 	26 	2339 	
MAD1 	30 	1687 	
LCL3 	14 	488 	
GUP1 	14 	168 	
SCY1 	33 	1885 	
YGL082W 	23 	2296 	
YGL081W 	13 	613 	
FMP37 	10 	494 	
KXD1 	7 	145 	
DBP3 	8 	177 	
HNM1 	32 	1492 	
RPL7A 	3 	11 	
MPS2 	4 	8 	
YGL074C 	6 	245 	
HSF1 	34 	1747 	
YGL072C 	40 	1667 	
AFT1 	19 	792 	
RPB9 	9 	132 	
YGL069C 	7 	175 	
MNP1 	11 	254 	
NPY1 	21 	1390 	
SGF73 	34 	1477 	
ALG2 	11 	63 	
MRH4 	42 	1357 	
PUS2 	72 	9461 	
YGL063C-A 	16 	2918 	
PYC1 	64 	3355 	
DUO1 	10 	232 	
YBP2 	28 	982 	
PKP2 	32 	1229 	
RAD6 	4 	63 	
GEP7 	18 	670 	
SDS23 	30 	952 	
OLE1 	1 	0 	
ERV14 	11 	230 	
PRM8 	13 	484 	
YGL052W 	18 	541 	
MST27 	24 	493 	
TYW3 	23 	1596 	
TIF4632 	45 	2673 	
RPT6 	1 	0 	
ALG13 	3 	9 	
RIM8 	67 	2256 	
RNA15 	5 	27 	
DST1 	17 	849 	
YGL042C 	8 	104 	
YGL041C-B 	12 	647 	
YGL041W-A 	20 	3028 	
YGL041C 	4 	354 	
HEM2 	2 	17 	
YGL039W 	28 	778 	
OCH1 	2 	2 	
PNC1 	17 	1007 	
YGL036W 	71 	3114 	
MIG1 	56 	3217 	
YGL034C 	11 	22 	
HOP2 	25 	1932 	
AGA2 	5 	9 	
RPL24A 	30 	411 	
RPL30 	1 	0 	
CGR1 	2 	44 	
SCW11 	48 	2064 	
CWH41 	57 	1876 	
TRP5 	56 	3099 	
PGD1 	27 	1677 	
YGL024W 	17 	545 	
PIB2 	94 	5065 	
STT3 	8 	456 	
ALK1 	101 	6081 	
GET1 	6 	54 	
CKB1 	24 	1770 	
JAC1 	0 	0 	
ATE1 	47 	2922 	
KAP122 	111 	5394 	
YGL015C 	18 	1710 	
PUF4 	71 	3240 	
YGL014C-A 	3 	89 	
PDR1 	111 	7542 	
ERG4 	97 	5825 	
SCL1 	7 	48 	
YGL010W 	36 	2746 	
LEU1 	119 	9452 	
PMA1 	6 	135 	
YGL007C-A 	1 	0 	
BRP1 	25 	4530 	
YGL006W-A 	11 	211 	
PMC1 	191 	19465 	
COG7 	58 	6529 	
RPN14 	82 	8461 	
CDH1 	141 	17296 	
ERP6 	49 	8774 	
ERG26 	4 	68 	
AML1 	62 	3742 	
SWC4 	86 	11085 	
CUL3 	111 	10369 	
PEX31 	127 	9211 	
TFG2 	18 	123 	
PRP18 	19 	2055 	
ECT1 	77 	7398 	
STF2 	20 	728 	
SEC9 	17 	560 	
NMA2 	80 	9181 	
YGR011W 	23 	1087 	
YGR012W 	82 	5971 	
SNU71 	41 	3729 	
MSB2 	109 	4669 	
YGR015C 	94 	11804 	
YGR016W 	28 	3968 	
YGR017W 	34 	2730 	
YGR018C 	13 	735 	
UGA1 	87 	11496 	
VMA7 	6 	33 	
YGR021W 	51 	2358 	
YGR022C 	15 	328 	
MTL1 	66 	4420 	
THG1 	0 	0 	
YGR025W 	18 	7291 	
YGR026W 	37 	2247 	
RPS25A 	21 	773 	
MSP1 	32 	2053 	
ERV1 	2 	1 	
POP6 	1 	0 	
IMO32 	91 	19015 	
NAG1 	52 	10155 	
GSC2 	139 	11724 	
TIM21 	24 	639 	
RPL26B 	15 	147 	
YGR035C 	7 	617 	
YGR035W-A 	18 	1032 	
CAX4 	10 	186 	
ACB1 	11 	367 	
ORM1 	26 	1244 	
YGR039W 	12 	459 	
KSS1 	34 	2704 	
BUD9 	71 	5626 	
YGR042W 	28 	838 	
NQM1 	42 	4686 	
RME1 	19 	474 	
YGR045C 	30 	2226 	
TAM41 	24 	964 	
TFC4 	8 	46 	
UFD1 	6 	463 	
SCM4 	26 	853 	
YGR050C 	37 	2311 	
YGR051C 	19 	1869 	
FMP48 	30 	1769 	
YGR053C 	26 	669 	
YGR054W 	25 	1616 	
MUP1 	12 	325 	
RSC1 	43 	1227 	
LST7 	17 	584 	
PEF1 	15 	409 	
SPR3 	22 	491 	
ERG25 	3 	2 	
ADE6 	2 	1 	
COX18 	23 	549 	
SPT4 	14 	960 	
YGR064W 	22 	450 	
VHT1 	2 	1 	
YGR066C 	9 	104 	
YGR067C 	52 	3433 	
ART5 	100 	10318 	
YGR068W-A 	4 	5 	
YGR069W 	16 	293 	
ROM1 	37 	996 	
ENV11 	34 	1673 	
UPF3 	8 	193 	
YGR073C 	2 	102 	
SMD1 	1 	0 	
PRP38 	0 	0 	
MRPL25 	8 	241 	
PEX8 	34 	2029 	
PAC10 	9 	45 	
YGR079W 	32 	1726 	
TWF1 	26 	1205 	
SLX9 	10 	607 	
TOM20 	4 	12 	
GCD2 	1 	0 	
MRP13 	19 	598 	
RPL11B 	2 	7 	
PIL1 	11 	149 	
PDC6 	50 	2069 	
CTT1 	29 	1248 	
NNF2 	55 	2611 	
UTP22 	1 	0 	
PRP31 	17 	158 	
DBF2 	1 	0 	
DRN1 	33 	660 	
VAS1 	5 	71 	
RRP46 	0 	0 	
TPC1 	63 	6797 	
ASK10 	44 	2662 	
ESP1 	1 	0 	
TEL2 	1 	0 	
MDR1 	36 	1386 	
PCP1 	27 	1186 	
GTF1 	14 	338 	
NOP7 	1 	0 	
SRB5 	6 	57 	
VMA21 	0 	0 	
VOA1 	7 	172 	
YGR107W 	29 	2183 	
CLB1 	14 	185 	
CLB6 	21 	599 	
CLD1 	8 	238 	
YGR111W 	13 	991 	
SHY1 	17 	401 	
DAM1 	7 	390 	
YGR114C 	5 	31 	
YGR115C 	0 	0 	
SPT6 	5 	62 	
YGR117C 	12 	361 	
RPS23A 	10 	329 	
NUP57 	8 	55 	
COG2 	6 	34 	
MEP1 	40 	2821 	
YGR121W-A 	25 	4383 	
YGR122W 	27 	1006 	
YGR122C-A 	2 	1 	
PPT1 	13 	618 	
ASN2 	38 	1739 	
YGR125W 	40 	3156 	
YGR126W 	28 	1653 	
YGR127W 	21 	1117 	
UTP8 	4 	65 	
SYF2 	20 	1016 	
YGR130C 	30 	919 	
FHN1 	16 	717 	
PHB1 	9 	43 	
PEX4 	11 	1101 	
CAF130 	57 	2403 	
PRE9 	5 	37 	
LSB1 	5 	65 	
YGR137W 	5 	22 	
TPO2 	17 	1090 	
YGR139W 	8 	64 	
CBF2 	2 	1 	
VPS62 	41 	2179 	
BTN2 	17 	120 	
SKN1 	25 	1152 	
THI4 	36 	1909 	
ENP2 	9 	370 	
ECL1 	4 	37 	
YGR146C-A 	13 	483 	
NAT2 	23 	484 	
RPL24B 	12 	171 	
YGR149W 	19 	547 	
CCM1 	20 	406 	
YGR151C 	8 	259 	
RSR1 	16 	519 	
YGR153W 	12 	208 	
GTO1 	17 	283 	
CYS4 	8 	46 	
PTI1 	12 	379 	
CHO2 	16 	631 	
MTR3 	2 	5 	
NSR1 	11 	343 	
YGR160W 	4 	11 	
RTS3 	17 	1007 	
YGR161W-C 	4 	239 	
TIF4631 	26 	630 	
GTR2 	28 	1924 	
YGR164W 	16 	466 	
MRPS35 	15 	415 	
TRS65 	24 	522 	
CLC1 	1 	0 	
YGR168C 	17 	711 	
PUS6 	46 	2587 	
YGR169C-A 	2 	7 	
PSD2 	68 	4314 	
MSM1 	27 	543 	
YIP1 	1 	0 	
RBG2 	14 	599 	
CBP4 	16 	1683 	
YGR174W-A 	1 	0 	
ERG1 	0 	0 	
YGR176W 	22 	1438 	
ATF2 	47 	1606 	
PBP1 	31 	1636 	
OKP1 	4 	241 	
RNR4 	11 	392 	
TIM13 	12 	247 	
YGR182C 	11 	303 	
QCR9 	7 	348 	
UBR1 	39 	1885 	
TYS1 	0 	0 	
TFG1 	6 	98 	
HGH1 	8 	64 	
BUB1 	33 	346 	
CRH1 	20 	281 	
YGR190C 	8 	244 	
HIP1 	23 	1545 	
TDH3 	6 	6 	
PDX1 	23 	1108 	
XKS1 	32 	700 	
SKI6 	5 	18 	
FYV8 	25 	844 	
SNG1 	31 	1394 	
YPP1 	6 	116 	
PMT6 	34 	1644 	
ELP2 	29 	1052 	
YGR201C 	20 	1343 	
PCT1 	33 	1379 	
YCH1 	31 	5282 	
ADE3 	26 	881 	
YGR204C-A 	1 	0 	
TDA10 	9 	246 	
MVB12 	4 	169 	
CIR1 	12 	141 	
SER2 	0 	0 	
TRX2 	8 	347 	
YGR210C 	50 	2848 	
ZPR1 	3 	5 	
SLI1 	24 	893 	
RTA1 	13 	454 	
RPS0A 	12 	125 	
RSM27 	7 	42 	
GPI1 	11 	78 	
CCH1 	49 	1538 	
CRM1 	4 	12 	
YGR219W 	4 	336 	
MRPL9 	12 	627 	
TOS2 	41 	1637 	
PET54 	9 	135 	
HSV2 	7 	253 	
AZR1 	21 	740 	
AMA1 	28 	963 	
YGR226C 	3 	31 	
DIE2 	12 	129 	
YGR228W 	2 	7 	
SMI1 	14 	1149 	
BNS1 	14 	321 	
PHB2 	17 	952 	
NAS6 	13 	1074 	
PHO81 	44 	825 	
YHB1 	5 	179 	
MIC26 	9 	435 	
SPG1 	7 	205 	
YGR237C 	54 	4029 	
KEL2 	44 	2304 	
PEX21 	36 	1277 	
PFK1 	24 	327 	
YGR240C-A 	11 	1057 	
YAP1802 	55 	2047 	
YGR242W 	4 	16 	
FMP43 	5 	41 	
LSC2 	54 	4914 	
SDA1 	7 	16 	
BRF1 	1 	0 	
CPD1 	23 	475 	
SOL4 	11 	1080 	
MGA1 	23 	401 	
YGR250C 	24 	901 	
NOP19 	4 	38 	
GCN5 	17 	404 	
PUP2 	0 	0 	
ENO1 	18 	245 	
COQ6 	45 	2837 	
GND2 	19 	1029 	
MTM1 	18 	1028 	
RAD2 	89 	5654 	
YGR259C 	8 	95 	
TNA1 	34 	1567 	
APL6 	25 	470 	
BUD32 	0 	0 	
SAY1 	32 	1665 	
MES1 	0 	0 	
YGR265W 	7 	432 	
YGR266W 	27 	1026 	
FOL2 	0 	0 	
HUA1 	17 	1111 	
YGR269W 	21 	858 	
YTA7 	31 	534 	
YGR270C-A 	5 	84 	
SLH1 	62 	3356 	
EFG1 	2 	2 	
YGR273C 	1 	0 	
TAF1 	7 	93 	
RTT102 	2 	1 	
RNH70 	28 	666 	
CAB4 	0 	0 	
CWC22 	15 	461 	
SCW4 	17 	159 	
PXR1 	7 	155 	
YOR1 	40 	1606 	
BGL2 	6 	271 	
YGR283C 	11 	608 	
ERV29 	15 	397 	
ZUO1 	21 	977 	
BIO2 	18 	494 	
IMA1 	21 	826 	
MAL13 	12 	223 	
MAL11 	30 	831 	
YGR290W 	0 	0 	
YGR291C 	8 	788 	
MAL12 	10 	360 	
YGR293C 	0 	0 	
PAU12 	3 	4 	
COS6 	9 	86 	
YRF1-3 	0 	0 	
YGR296C-A 	0 	0 	
YGR296C-B 	0 	0 	
YHL050C 	38 	758 	
YHL050W-A 	2 	2 	
YHL049C 	0 	0 	
YHL048C-A 	5 	99 	
COS8 	28 	990 	
ARN2 	35 	1582 	
YHL046W-A 	7 	206 	
PAU13 	7 	160 	
YHL045W 	12 	163 	
YHL044W 	10 	250 	
ECM34 	10 	514 	
YHL042W 	22 	1104 	
YHL041W 	36 	515 	
ARN1 	48 	2808 	
EFM1 	48 	3225 	
CBP2 	49 	1997 	
YHL037C 	15 	585 	
MUP3 	55 	3651 	
VMR1 	97 	4982 	
YHL034W-A 	14 	298 	
SBP1 	27 	562 	
RPL8A 	17 	246 	
GUT1 	58 	1956 	
GOS1 	7 	63 	
YHL030W-A 	7 	371 	
ECM29 	122 	5093 	
OCA5 	73 	6686 	
WSC4 	70 	4303 	
RIM101 	79 	6238 	
YHL026C 	55 	8590 	
SNF6 	76 	13622 	
RIM4 	112 	10544 	
NPR3 	66 	1674 	
SPO11 	19 	626 	
AIM17 	64 	5288 	
OPI1 	35 	2009 	
YHL019W-A 	22 	1136 	
APM2 	66 	5964 	
YHL018W 	11 	707 	
YHL017W 	86 	5382 	
DUR3 	128 	12100 	
YHL015W-A 	10 	110 	
RPS20 	0 	0 	
YLF2 	65 	6220 	
OTU2 	38 	2430 	
YHL012W 	62 	3268 	
PRS3 	17 	222 	
ETP1 	92 	8445 	
YAP3 	49 	3007 	
YHL008C 	165 	28748 	
STE20 	136 	20171 	
YHL006W-A 	27 	8339 	
SHU1 	27 	40253 	
YHL005C 	18 	3486 	
MRP4 	91 	6234 	
LAG1 	89 	10254 	
YHL002C-A 	39 	4733 	
HSE1 	104 	12555 	
RPL14B 	34 	3172 	
OSH7 	116 	17869 	
QCR10 	33 	2088 	
LEU5 	88 	6214 	
TCD1 	112 	22442 	
NEM1 	109 	8323 	
GPA1 	2 	11 	
TIM10 	8 	662 	
STP2 	89 	5555 	
ERG11 	7 	806 	
YHR007C-A 	14 	7505 	
SOD2 	56 	2775 	
TDA3 	126 	8904 	
RPL27A 	19 	137 	
DIA4 	50 	1500 	
VPS29 	25 	451 	
ARD1 	22 	466 	
SPO13 	20 	1187 	
MIP6 	72 	3091 	
YSC84 	45 	2129 	
YSC83 	25 	1318 	
ARG4 	44 	2405 	
DED81 	0 	0 	
YHR020W 	8 	136 	
RPS27B 	11 	186 	
ECM12 	14 	903 	
YHR022C 	42 	2133 	
YHR022C-A 	9 	502 	
MYO1 	127 	5564 	
MAS2 	2 	121 	
THR1 	34 	1061 	
VMA16 	0 	0 	
RPN1 	3 	10 	
DAP2 	50 	1824 	
YHR028W-A 	17 	510 	
YHI9 	31 	2666 	
SLT2 	19 	1062 	
RRM3 	87 	4777 	
ERC1 	123 	19187 	
YHR032W-A 	15 	3420 	
YHR032C-A 	15 	2765 	
YHR033W 	61 	5480 	
PIH1 	59 	1870 	
NEL1 	47 	1386 	
BRL1 	9 	77 	
PUT2 	50 	1765 	
RRF1 	12 	168 	
MSC7 	34 	1425 	
VMA10 	1 	0 	
BCD1 	21 	799 	
SRB2 	14 	180 	
NCP1 	15 	105 	
DOG2 	17 	508 	
DOG1 	12 	875 	
YHR045W 	36 	1532 	
INM1 	19 	997 	
AAP1 	61 	1776 	
YHK8 	49 	2375 	
FSH1 	14 	636 	
YHR049C-A 	22 	290 	
SMF2 	35 	1301 	
YHR050W-A 	5 	145 	
COX6 	5 	7 	
CIC1 	4 	109 	
YHR052W-A 	0 	0 	
CUP1-1 	0 	0 	
YHR054C 	0 	0 	
YHR054W-A 	0 	0 	
CUP1-2 	0 	0 	
RSC30 	37 	963 	
YHR056W-A 	19 	381 	
CPR2 	25 	1467 	
MED6 	8 	562 	
FYV4 	6 	40 	
VMA22 	1 	0 	
GIC1 	26 	910 	
RPP1 	0 	0 	
PAN5 	16 	1189 	
YHR063W-A 	4 	71 	
SSZ1 	11 	113 	
RRP3 	4 	122 	
SSF1 	24 	948 	
HTD2 	19 	791 	
DYS1 	3 	3 	
RRP4 	2 	32 	
YHR069C-A 	1 	0 	
TRM5 	10 	146 	
YHR070C-A 	17 	783 	
PCL5 	30 	2207 	
YHR071C-A 	10 	165 	
ERG7 	3 	16 	
NOP10 	0 	0 	
OSH3 	47 	2327 	
YHR073W-A 	2 	9 	
YHR073C-B 	5 	76 	
QNS1 	0 	0 	
PPE1 	31 	1197 	
PTC7 	25 	1037 	
NMD2 	51 	886 	
YHR078W 	19 	919 	
IRE1 	21 	510 	
SAE3 	1 	0 	
YHR080C 	63 	3063 	
LRP1 	4 	128 	
KSP1 	38 	1023 	
SAM35 	1 	0 	
STE12 	45 	2602 	
IPI1 	0 	0 	
NAM8 	28 	1186 	
YHR086W-A 	11 	1347 	
RTC3 	13 	249 	
RPF1 	0 	0 	
GAR1 	4 	35 	
YNG2 	4 	9 	
MSR1 	27 	845 	
HXT4 	27 	1605 	
AHT1 	24 	1093 	
HXT1 	38 	2891 	
YHR095W 	12 	1016 	
HXT5 	31 	1122 	
YHR097C 	58 	2449 	
SFB3 	35 	1443 	
TRA1 	18 	866 	
GEP4 	9 	191 	
BIG1 	3 	7 	
KIC1 	3 	3 	
SBE22 	29 	1530 	
GRE3 	16 	283 	
YPT35 	10 	110 	
TRR2 	17 	87 	
CDC12 	0 	0 	
GGA2 	35 	1925 	
CTM1 	25 	1017 	
ERP5 	7 	163 	
UBA4 	16 	539 	
YHR112C 	31 	2576 	
APE4 	44 	1476 	
BZZ1 	42 	957 	
DMA1 	37 	2192 	
COX23 	12 	778 	
TOM71 	34 	1010 	
ORC6 	0 	0 	
SET1 	26 	401 	
MSH1 	38 	1069 	
LSM12 	9 	274 	
CIA2 	3 	9 	
EPT1 	19 	672 	
NDT80 	36 	1608 	
YHR125W 	3 	17 	
ANS1 	18 	788 	
YHR127W 	14 	454 	
FUR1 	12 	327 	
ARP1 	8 	621 	
YHR130C 	2 	20 	
YHR131C 	32 	919 	
YHR131W-A 	4 	18 	
ECM14 	31 	2189 	
IGO2 	12 	786 	
NSG1 	10 	286 	
WSS1 	11 	570 	
YCK1 	49 	1993 	
SPL2 	12 	462 	
ARO9 	17 	312 	
YHR137C-A 	4 	16 	
YHR138C 	7 	150 	
SPS100 	18 	668 	
YHR139C-A 	18 	2399 	
YHR140W 	23 	1177 	
RPL42B 	6 	46 	
CHS7 	15 	217 	
DSE2 	14 	146 	
RPC10 	0 	0 	
DCD1 	15 	232 	
YHR145C 	4 	20 	
CRP1 	16 	565 	
MRPL6 	6 	28 	
IMP3 	1 	0 	
SKG6 	30 	1425 	
PEX28 	30 	1373 	
MTC6 	19 	905 	
SPO12 	12 	353 	
SPO16 	1 	0 	
RTT107 	60 	2110 	
YSP1 	42 	1863 	
LIN1 	28 	1567 	
REC104 	17 	806 	
KEL1 	31 	2055 	
TDA11 	29 	1551 	
PEX18 	12 	261 	
YAP1801 	24 	685 	
MPC2 	0 	0 	
SOL3 	13 	533 	
DNA2 	10 	182 	
PRP8 	4 	13 	
YHR165W-A 	4 	13 	
CDC23 	8 	830 	
THP2 	4 	15 	
MTG2 	25 	890 	
DBP8 	4 	15 	
NMD3 	4 	12 	
ATG7 	25 	658 	
SPC97 	12 	383 	
YHR173C 	29 	3129 	
ENO2 	19 	956 	
CTR2 	16 	1096 	
YHR175W-A 	4 	58 	
FMO1 	37 	1783 	
YHR177W 	23 	1155 	
STB5 	37 	1288 	
OYE2 	13 	408 	
YHR180W 	19 	1095 	
YHR180W-A 	1 	0 	
YHR180C-B 	0 	0 	
SVP26 	10 	182 	
YHR182W 	65 	3947 	
YHR182C-A 	6 	327 	
GND1 	12 	469 	
SSP1 	26 	1040 	
PFS1 	8 	126 	
KOG1 	7 	17 	
IKI1 	9 	36 	
GPI16 	0 	0 	
PTH1 	14 	343 	
ERG9 	2 	1 	
CTF8 	1 	0 	
LNP1 	12 	286 	
EGD2 	11 	874 	
YHR193C-A 	3 	8 	
MDM31 	20 	320 	
NVJ1 	18 	540 	
UTP9 	8 	290 	
RIX1 	1 	0 	
AIM18 	21 	710 	
AIM46 	35 	2240 	
NBL1 	5 	238 	
RPN10 	12 	669 	
PPX1 	7 	19 	
YHR202W 	35 	1828 	
RPS4B 	3 	76 	
MNL1 	47 	2877 	
SCH9 	9 	186 	
SKN7 	21 	1678 	
SET5 	17 	591 	
BAT1 	27 	1083 	
CRG1 	17 	636 	
YHR210C 	22 	1486 	
FLO5 	39 	1574 	
YHR212C 	0 	0 	
YHR212W-A 	0 	0 	
YHR213W 	0 	0 	
YHR213W-A 	0 	0 	
YHR213W-B 	9 	148 	
YHR214W 	0 	0 	
YHR214W-A 	2 	100 	
YHR214C-D 	0 	0 	
YHR214C-E 	4 	15 	
PHO12 	1 	0 	
IMD2 	2 	1 	
YHR217C 	10 	271 	
YHR218W 	3 	3 	
YHR218W-A 	0 	0 	
YHR219W 	0 	0 	
YHR219C-A 	0 	0 	
YIL177C 	0 	0 	
YIL177W-A 	0 	0 	
PAU14 	0 	0 	
VTH1 	7 	390 	
IMA3 	0 	0 	
YIL171W-A 	0 	0 	
YIL169C 	20 	376 	
YIL166C 	34 	2274 	
YIL165C 	11 	511 	
NIT1 	16 	675 	
YIL163C 	10 	364 	
SUC2 	31 	1714 	
YIL161W 	6 	60 	
POT1 	22 	639 	
BNR1 	59 	2611 	
AIM20 	18 	749 	
COA1 	14 	462 	
YIL156W-A 	15 	857 	
YIL156W-B 	7 	98 	
UBP7 	52 	1641 	
GUT2 	44 	2591 	
IMP2
RRD1 	38 	1163 	
YIL152W 	21 	567 	
ESL1 	45 	1874 	
MCM10 	13 	552 	
MLP2 	60 	2328 	
RPL40A 	5 	17 	
SLN1 	2 	1 	
ATG32 	25 	638 	
PAN6 	19 	683 	
NDC80 	0 	0 	
SSL2 	7 	141 	
YIL142C-A 	4 	218 	
CCT2 	0 	0 	
YIL141W 	12 	233 	
AXL2 	58 	2616 	
REV7 	17 	543 	
TPM2 	6 	216 	
TMA108 	60 	3160 	
OM45 	17 	502 	
VHS2 	16 	406 	
YIL134C-A 	10 	442 	
FLX1 	11 	239 	
RPL16A 	5 	35 	
CSM2 	30 	3396 	
FKH1 	30 	2872 	
ASG1 	32 	2450 	
TAO3 	20 	1094 	
MET18 	14 	355 	
RRT14 	7 	103 	
STH1 	22 	829 	
KGD1 	43 	4434 	
AYR1 	18 	828 	
SIM1 	70 	5111 	
POG1 	26 	1446 	
QDR2 	45 	2597 	
QDR1 	44 	1084 	
RPI1 	14 	306 	
RHO3 	6 	27 	
PRM5 	15 	217 	
HIS5 	31 	2331 	
YIL115W-A 	6 	149 	
NUP159 	10 	182 	
POR2 	4 	6 	
SDP1 	20 	817 	
HOS4 	30 	1319 	
COX5B 	8 	156 	
HPM1 	15 	876 	
SEC24 	1 	0 	
YIL108W 	59 	4124 	
PFK26 	32 	2015 	
MOB1 	10 	140 	
SLM1 	30 	1196 	
YIL105W-A 	4 	20 	
SHQ1 	4 	57 	
DPH1 	17 	1577 	
YIL102C-A 	5 	8 	
YIL102C 	4 	14 	
XBP1 	46 	2034 	
YIL100C-A 	27 	244 	
YIL100W 	31 	488 	
SGA1 	36 	1445 	
FMC1 	7 	186 	
FYV10 	20 	886 	
BMT5 	20 	627 	
PRK1 	46 	2681 	
LYS12 	19 	766 	
RSM25 	21 	774 	
YIL092W 	49 	2038 	
UTP25 	3 	2 	
