Gene name	Number of transposons per gene	Number of reads per gene
FOL3	21	593
SPC24	7	194
ECM16	36	639
RRB1	16	194
ERG29	14	199
PSO2	50	1338
TIF34	10	279
SWP1	12	151
MSS11	34	379
CEP3	23	951
SPT21	46	1732
RTP1	27	525
VTI1	5	58
CIK1	21	363
ROT1	7	75
TOM40	2	31
ERG12	17	628
DML1	15	104
CEF1	30	1022
TRS130	21	412
ERG8	13	195
TAF7	16	366
RRP5	39	745
RNA1	3	9
TAF9	2	6
RNT1	16	380
CUS1	42	2147
TIF11	2	1
PRP24	6	91
RRN9	8	226
FCP1	16	143
GPI12	3	35
HSH155	27	309
HAS1	10	156
YMR290W-A	13	346
LCB1	19	528
LIP1	4	14
ATM1	26	722
PSE1	20	436
NIP1	26	642
PRE5	6	11
RLP7	4	50
LST8	4	232
SIS1	6	39
ARK1	82	3812
KSH1	10	160
SAM50	12	125
GPI15	7	105
BDP1	17	378
NOP2	28	508
GCD10	19	384
IMP4	5	22
TOP2	19	224
POL1	67	2042
MET4	19	287
NOP15	3	26
DBP2	43	1493
RPC19	1	0
YNL114C	6	74
DCP2	26	1086
NAF1	15	169
SPC98	25	682
TOM22	3	52
KRE33	14	576
NAM9	19	548
YSF3	3	8
PGA2	7	20
YNL150W	4	11
RPC31	17	196
INN1	5	16
PGA1	3	18
CBK1	40	901
RPL42A	6	115
RIA1	32	900
APC1	58	1790
RPS3	0	0
YNL181W	14	116
IPI3	15	369
KAR1	7	53
SRP1	4	45
RIO2	7	34
RAP1	36	1064
POP1	32	834
SSU72	4	5
CSL4	8	91
NAR1	16	261
SUI1	10	80
CWC25	3	13
YNL247W	27	937
NRD1	30	399
FOL1	27	713
DSL1	31	720
LTO1	6	44
ORC5	5	20
POL2	71	2302
YIF1	10	143
PIK1	24	609
SEC2	25	504
POP3	21	869
SEC21	28	377
RFC3	12	393
MRPS18	12	113
KRI1	4	8
ZIM17	9	472
RFA2	2	2
EMW1	20	327
PFS2	12	135
RPC34	13	587
PRP2	55	1244
ACC1	79	2031
TIM23	20	447
SEC12	20	422
ARC35	9	401
DBP6	26	888
MVD1	6	36
TRM112	4	69
NOG2	15	183
ESF2	13	220
RPB11	1	0
RCL1	19	421
DIS3	23	385
TSR4	6	45
MIM1	3	11
SMC5	45	1392
PRE6	7	54
RPS15	4	75
RIB2	20	284
NUF2	14	145
BRX1	18	283
AVO1	51	2407
RFC4	9	92
WRS1	20	531
TPT1	3	5
RPL18A	17	443
HRP1	9	116
RPL25	0	0
ALR1	28	700
HRT1	13	365
YOL134C	18	1392
MED7	9	65
CDC33	2	1
NOP8	14	119
PSF3	4	24
DCP1	3	7
UTP23	8	92
HSP10	0	0
DBP5	19	456
RAT1	20	510
NOB1	30	1205
SGT1	19	301
SLD7	14	394
RPL3	6	98
CDC21	13	342
UFE1	5	86
RTS2	19	312
RKI1	7	158
NUP1	17	195
YOR102W	4	39
OST2	1	0
VAM3	7	68
TFC7	18	223
RPO31	39	711
RPT5	15	313
RIO1	10	359
PFY1	1	0
THI80	16	145
YOR146W	3	3
SPP2	5	24
SMP3	7	89
RPB2	35	513
PDR5	84	2747
PUP1	12	125
SME1	3	67
MTR10	16	184
GLN4	21	365
YOR169C	6	54
MED4	20	523
HEM15	23	490
LAS17	11	169
TOA1	3	3
YOR203W	23	365
DED1	14	85
NOC2	23	370
RET1	34	640
RPB10	3	9
RFC1	41	713
YOR218C	6	21
RPB8	6	22
WTM2	63	2833
MGE1	7	90
KIN4	41	1360
DFR1	14	265
ESA1	16	201
APC5	9	153
CLP1	10	122
SEC63	12	255
TRE2	19	387
CDC31	0	0
RPT4	11	239
GCD1	18	312
RPN8	7	16
GPN2	8	60
FSF1	29	975
YTM1	5	69
HEM4	10	160
PLP2	12	111
YOR282W	20	558
RRP36	6	114
RRS1	5	34
NOP58	9	245
HSH49	1	0
MYO2	44	1036
SCD5	20	325
ALA1	24	716
KRE5	46	1561
RPA43	12	201
RPA190	37	1308
SOG2	44	1254
PRT1	28	1061
PRE10	7	158
MRS6	24	610
NDD1	8	327
NUD1	24	245
TFC8	9	179
RET3	6	104
