Gene name	Number of transposons per gene	Number of reads per gene
DFR1	13	334
ESA1	25	558
APC5	9	76
CLP1	9	145
SEC63	17	421
TRE2	27	477
CDC31	0	0
RPT4	15	188
GCD1	17	190
RPN8	11	230
GPN2	11	98
FSF1	27	1674
YTM1	5	28
HEM4	10	159
PLP2	8	136
YOR282W	11	889
RRP36	8	29
RRS1	6	84
NOP58	10	77
HSH49	3	27
MYO2	44	969
SCD5	18	284
ALA1	35	748
KRE5	47	1250
RPA43	8	149
RPA190	30	400
SOG2	54	1412
PRT1	39	1425
PRE10	5	29
MRS6	13	200
NDD1	13	586
NUD1	21	379
TFC8	16	238
RET3	5	21
TAF3	23	850
RRP12	34	641
SWI1	46	1071
ULP1	22	355
ERG10	5	14
NOP4	34	949
TIM50	21	480
GCR1	31	747
GPI2	7	63
MOT1	56	1300
SEN54	7	79
SEC16	49	1949
NOG1	23	668
SEC62	20	494
IDI1	17	237
TFB2	14	64
SPC29	9	65
NAN1	12	56
TBF1	10	101
RPL5	4	66
GIP3	64	1982
YPL142C	1	0
RPL33A	7	50
NOP53	6	68
PRP46	25	556
RAD53	27	994
CDC60	28	805
MEX67	17	234
SPT14	27	812
NAB3	17	359
TPK2	30	1313
HRR25	24	322
TYW1	28	870
IPL1	4	9
SRP72	18	210
NIP7	8	83
BMS1	32	1029
SAR1	9	55
CET1	13	62
FAS2	38	663
NSL1	9	295
RVB2	30	991
SUI3	5	12
YPL238C	0	0
IQG1	29	873
SRP68	3	43
YPL251W	3	2
YAH1	7	200
BBP1	13	347
DIM1	11	256
RPA135	36	978
TIF6	5	27
MCM4	38	1211
CCL1	8	45
HTS1	18	192
ARP7	17	558
GLN1	28	512
TIP41	25	550
TIF5	15	292
TAH18	11	219
SEC8	34	1010
TFB4	7	169
DIB1	12	289
ASA1	9	59
SUA7	10	151
SRP54	13	777
RDS3	6	53
PRE2	16	497
FHL1	35	1289
COG4	20	483
YTH1	14	260
RPN7	11	258
RPC40	13	185
DBF20	36	1117
MRD1	26	456
PIS1	9	325
CLB5	30	570
CTR1	35	1404
YLH47	30	1509
SPN1	10	43
YPR136C	3	12
RRP9	15	299
YPR142C	18	1950
RRP15	7	123
NOC4	24	326
SGV1	27	496
ORC4	11	175
RHO1	3	4
