Gene name	Number of transposons per gene	Number of reads per gene
ORC6	13	123
YHR122W	16	324
RPC10	0	0
IMP3	17	274
DNA2	34	963
CDC23	28	1058
NMD3	17	176
SPC97	29	1128
KOG1	49	1237
GPI16	21	316
ERG9	12	497
UTP9	29	540
RIX1	13	131
CFD1	24	1304
BET1	2	2
FAF1	11	320
RPB3	17	225
TIM44	13	110
IRR1	43	633
ULP2	49	1113
MET30	30	801
NEO1	24	223
MMF1	21	1478
SNP1	15	141
ARC15	7	69
YRB2	12	78
SEC6	25	376
RPN2	38	765
THS1	29	498
CAB2	5	69
UTP25	33	716
SHQ1	26	730
MOB1	7	29
SEC24	33	797
NUP159	46	1301
RHO3	13	232
STH1	29	560
TAO3	113	3973
CCT2	23	450
SSL2	33	1220
NDC80	28	1051
SLN1	30	408
MCM10	29	790
DJP1	46	1776
PAN1	148	6931
PRI1	9	126
DSN1	21	403
STS1	12	232
SQT1	21	336
RPR2	8	212
SEC11	6	9
PRE3	4	27
OST1	6	55
CYR1	85	1867
CCT8	20	257
YJL009W	11	340
NOP9	18	299
RPC17	6	78
CCT3	6	26
YJL015C	39	4279
MPS3	63	3355
RRN7	21	324
RNR2	20	484
BET4	3	2
YJL032W	0	0
HCA4	17	90
KAR2	19	230
TAD2	7	81
NUP192	36	745
NSP1	4	11
MTR4	44	1337
TIM54	19	402
NUP82	14	353
UTP18	21	420
PSF2	16	265
SMC3	21	385
NET1	73	1644
ARP4	5	85
EXO70	29	679
YJL086C	21	499
TRL1	15	142
DPB11	22	451
GWT1	10	153
PHS1	9	73
PAM16	2	1
IME2	42	941
UTP10	52	827
CCT7	8	134
ASF1	9	98
MTC1	29	1155
GCD14	14	362
TIM17	7	142
SSY5	31	584
FAR1	52	2622
TPK1	35	812
ERG20	11	169
RFA3	1	0
KRE9	9	125
CDC6	6	40
YJL195C	2	1
YJL202C	15	890
PRP21	14	687
MPP10	47	1014
MRX12	107	7516
POL31	3	4
SUI2	16	342
YJR012C	44	2840
GPI14	9	48
ILV3	20	259
ESS1	10	56
LSM8	3	4
YJR023C	3	9
URB2	23	506
NUP85	19	308
SSC1	5	197
TAH11	9	66
CDC8	4	36
CCT5	38	735
ARP3	17	196
YAE1	2	4
RFC2	12	170
NPA3	28	515
CDC11	14	339
FIP1	19	448
SFC1	39	1280
NNF1	7	69
RPS5	1	0
YJR141W	2	2
AUR1	23	593
SFT1	22	1170
PRP40	34	1429
ARC19	1	0
URB1	45	914
SWD2	9	39
RAM2	14	153
MAK11	28	1511
CDC16	60	2835
URA6	5	23
TFA1	25	443
TTI1	30	1089
UGP1	20	394
YKL036C	35	2696
SPC42	8	44
PRI2	16	262
CSE4	13	224
ASK1	23	1053
TOA2	3	4
MPE1	21	345
FBA1	7	26
DHR2	13	1287
RRP14	7	28
YKL083W	1	0
CAB3	21	585
MIF2	4	11
YJU2	7	54
UTP11	12	171
HSL1	42	559
GFA1	21	232
SLD2	26	680
YKL111C	7	66
ABF1	25	384
SRP21	4	53
RRN3	22	229
HSK3	3	7
SDH3	10	129
RPC25	8	33
RPT1	4	13
GPM1	6	52
YKL153W	3	39
SRP102	9	35
MCD4	31	551
TPK3	25	834
EBP2	6	59
SNU114	15	172
RPL17A	4	8
FAS1	43	814
MTR2	11	177
HYM1	26	263
ACP1	6	72
SDS22	9	167
MIA40	6	26
YKT6	7	50
TOR2	90	2131
LOS1	56	1787
UBA1	17	301
PAP1	17	329
ECM9	24	494
RSC4	17	314
NTR2	15	334
RPC37	3	16
SPC34	9	94
KAE1	13	155
RPS21A	8	80
TFA2	0	0
LAS1	20	275
BET3	10	241
DRE2	21	428
TRZ1	27	331
RPF2	13	318
DAD2	4	12
PRP16	36	670
SFI1	34	1694
ORC3	22	257
DRS1	28	469
SOF1	21	620
DPS1	16	225
GPI13	32	640
RIX7	21	358
GRC3	17	153
PRP19	2	13
YLL037W	18	584
COF1	6	50
NOC3	20	223
SSL1	32	765
NSE1	21	592
PAM18	1	0
RLP24	2	4
TEN1	0	0
GAT3	10	354
SDO1	14	262
SED5	7	72
RPL15A	5	37
RSC58	2	1
STU2	36	919
FCF2	8	240
REX2	59	5269
FRS1	22	269
SPC3	8	236
RGR1	34	701
RPL10	2	2
YLR076C	1	0
BOS1	14	258
SMC4	36	391
GAA1	39	1218
HRT3	18	438
MIM2	7	67
ERG27	10	56
YLR101C	8	391
CDC45	15	234
SEN2	10	76
MDN1	103	1983
CFT2	21	385
MSL5	21	570
CLF1	37	780
APC2	24	347
DIP2	22	528
USB1	7	84
YLR140W	16	615
RRN5	11	203
RMP1	4	63
SMD3	5	7
ACS2	27	458
MAS1	20	285
SEC10	15	371
RPS31	4	10
CBF5	21	366
EMG1	6	44
NMT1	5	7
PWP1	32	658
NOP56	6	36
YLR198C	3	4
SEC13	17	453
TUB4	8	45
CDC123	11	120
CCC1	19	866
UTP13	15	182
IFH1	38	2317
CDC42	4	4
YLR230W	4	25
GPN3	7	70
YEF3	18	391
HSP60	7	37
YCS4	34	640
MCM5	32	591
SMD2	4	7
DBP9	2	1
YSH1	24	623
GCD7	12	308
YHC1	21	726
STT4	51	626
CDC25	46	921
CDC3	18	459
TAD3	18	232
YLR317W	7	24
SFH1	16	407
CWC24	11	110
RPS25B	4	16
SGD1	24	439
YLR339C	0	0
RPP0	2	1
RPL26A	12	237
KAP95	20	371
ILV5	18	222
ADE13	9	46
STP3	20	775
SEC61	19	509
YLR379W	6	64
AFG2	17	264
SFP1	34	1083
UTP21	29	559
SPP382	19	218
SEN1	50	1131
LSM3	1	0
SEC39	8	34
NBP1	24	565
YLR458W	6	45
GAB1	0	0
SPT5	39	1003
TAF11	10	64
NSE5	24	524
YML6	17	187
NDC1	20	682
RRN11	5	72
PRP39	12	351
RSE1	74	2880
TEM1	7	58
ORC1	27	701
ITT1	25	1357
POB3	3	41
BET5	6	68
TUB1	12	73
RPM2	45	587
PRE8	1	0
UTP14	39	905
TAF13	1	0
SEC65	1	0
TAF8	14	573
PGA3	14	231
ERG13	33	743
RSC9	21	241
MSC1	37	1190
ERO1	17	462
CDC5	16	185
TAF4	10	101
SEC59	20	566
TAP42	9	121
HOF1	49	1767
ARP9	4	19
MCM1	7	288
NUP116	34	546
ERB1	14	186
SEN15	3	5
RNA14	17	254
MOT3	17	79
TVP18	10	210
PDS5	22	500
SEC14	7	76
UTP15	21	328
CTF13	13	237
MED11	6	131
FOL3	23	566
SPC24	4	16
ECM16	42	901
RRB1	18	199
ERG29	16	633
PSO2	30	1518
TIF34	13	104
SWP1	10	61
MSS11	30	713
CEP3	26	461
SPT21	37	987
RTP1	26	473
VTI1	7	55
CIK1	19	388
ROT1	9	116
TOM40	10	165
ERG12	18	191
DML1	9	92
CEF1	19	663
TRS130	22	1003
ERG8	14	165
TAF7	20	386
RRP5	43	1149
RNA1	11	68
TAF9	1	0
RNT1	15	259
CUS1	46	1789
TIF11	2	7
PRP24	2	2
RRN9	12	285
FCP1	18	455
GPI12	5	13
HSH155	31	407
HAS1	11	118
YMR290W-A	10	164
LCB1	20	236
LIP1	2	1
ATM1	24	309
PSE1	22	672
NIP1	23	436
PRE5	3	20
RLP7	7	143
LST8	0	0
SIS1	5	46
ARK1	71	3187
KSH1	5	71
SAM50	14	346
GPI15	15	323
BDP1	18	231
NOP2	23	294
GCD10	13	186
IMP4	7	61
TOP2	29	620
POL1	54	1033
MET4	13	277
NOP15	5	25
DBP2	46	846
RPC19	1	0
YNL114C	8	123
DCP2	22	487
NAF1	15	412
SPC98	27	543
TOM22	3	2
KRE33	16	247
NAM9	28	471
YSF3	5	87
PGA2	4	29
YNL150W	3	4
RPC31	11	194
INN1	10	336
PGA1	6	42
CBK1	34	664
RPL42A	13	163
RIA1	40	1144
APC1	51	1014
RPS3	1	0
YNL181W	16	280
IPI3	19	238
KAR1	4	40
SRP1	5	15
RIO2	5	46
RAP1	45	1245
POP1	33	692
SSU72	7	129
CSL4	11	126
NAR1	20	284
SUI1	9	58
CWC25	3	10
YNL247W	27	359
NRD1	17	388
FOL1	23	761
DSL1	25	645
LTO1	3	6
ORC5	6	30
POL2	76	2122
YIF1	15	274
PIK1	28	540
SEC2	22	355
POP3	13	205
SEC21	17	204
RFC3	9	134
MRPS18	10	71
KRI1	6	17
ZIM17	8	59
RFA2	5	9
EMW1	15	343
PFS2	18	263
RPC34	22	865
PRP2	55	2019
ACC1	81	2164
TIM23	9	68
SEC12	21	724
ARC35	18	495
DBP6	23	319
MVD1	4	7
TRM112	8	37
NOG2	11	77
ESF2	14	183
RPB11	2	4
RCL1	26	967
DIS3	38	628
TSR4	7	44
MIM1	6	116
SMC5	41	443
PRE6	9	74
RPS15	4	44
RIB2	21	649
NUF2	16	229
BRX1	14	187
AVO1	46	2814
RFC4	20	306
WRS1	19	437
TPT1	6	59
RPL18A	16	280
HRP1	16	145
RPL25	1	0
ALR1	35	1028
HRT1	7	147
YOL134C	20	539
MED7	9	54
CDC33	0	0
NOP8	17	495
PSF3	6	107
DCP1	1	0
UTP23	10	302
HSP10	1	0
DBP5	23	345
RAT1	16	269
NOB1	23	600
SGT1	18	293
SLD7	18	289
RPL3	5	46
CDC21	14	464
UFE1	10	178
RTS2	16	578
RKI1	7	86
NUP1	22	219
YOR102W	1	0
OST2	0	0
VAM3	6	79
TFC7	9	71
RPO31	35	631
RPT5	12	61
RIO1	18	331
PFY1	3	8
THI80	18	304
YOR146W	1	0
SPP2	5	27
SMP3	12	232
RPB2	40	571
PDR5	76	1458
PUP1	7	55
SME1	6	165
MTR10	17	399
GLN4	23	261
YOR169C	3	7
MED4	8	135
HEM15	24	1100
LAS17	15	214
TOA1	3	4
YOR203W	24	452
DED1	9	57
NOC2	18	272
RET1	26	501
RPB10	4	3
RFC1	41	1065
YOR218C	4	35
RPB8	9	125
WTM2	56	2522
MGE1	5	40
KIN4	46	1685
DFR1	18	303
ESA1	18	315
APC5	9	140
CLP1	12	140
SEC63	18	223
TRE2	20	281
CDC31	1	0
RPT4	13	139
GCD1	16	278
RPN8	11	237
GPN2	12	204
FSF1	30	1137
YTM1	4	11
HEM4	14	306
PLP2	9	49
YOR282W	13	1010
RRP36	5	25
RRS1	10	187
NOP58	9	68
HSH49	2	1
MYO2	51	1137
SCD5	20	267
ALA1	34	662
KRE5	40	1136
RPA43	7	90
RPA190	30	493
SOG2	46	1599
PRT1	31	939
PRE10	7	72
MRS6	19	323
NDD1	12	156
NUD1	24	447
TFC8	20	352
RET3	3	9
TAF3	25	847
RRP12	33	786
SWI1	34	1144
ULP1	22	247
ERG10	9	62
NOP4	34	883
TIM50	17	326
GCR1	42	932
GPI2	11	128
MOT1	62	1401
SEN54	5	73
SEC16	43	904
NOG1	27	415
SEC62	22	721
IDI1	13	174
TFB2	14	65
SPC29	7	162
NAN1	22	174
TBF1	10	63
RPL5	6	38
GIP3	70	2763
YPL142C	0	0
RPL33A	5	26
NOP53	11	153
PRP46	27	459
RAD53	40	1256
CDC60	27	485
MEX67	16	193
SPT14	30	918
NAB3	18	252
TPK2	33	1378
HRR25	27	393
TYW1	32	1049
IPL1	6	28
SRP72	12	126
NIP7	5	201
BMS1	36	1345
SAR1	12	131
CET1	17	245
FAS2	38	1024
NSL1	11	250
RVB2	23	399
SUI3	3	19
YPL238C	1	0
IQG1	35	1139
SRP68	4	25
YPL251W	2	1
YAH1	6	42
BBP1	15	434
DIM1	12	226
RPA135	44	1153
TIF6	2	12
MCM4	40	1199
CCL1	6	31
HTS1	18	443
ARP7	12	253
GLN1	30	437
TIP41	32	517
TIF5	17	253
TAH18	19	238
SEC8	34	1219
TFB4	9	51
DIB1	8	56
ASA1	7	59
SUA7	12	202
SRP54	12	587
RDS3	3	17
PRE2	14	330
FHL1	29	718
COG4	22	250
YTH1	16	429
RPN7	8	54
RPC40	12	130
DBF20	36	908
MRD1	25	520
PIS1	9	56
CLB5	25	592
CTR1	32	1213
YLH47	32	887
SPN1	8	73
YPR136C	1	0
RRP9	9	172
YPR142C	18	1497
RRP15	7	83
NOC4	23	396
SGV1	26	541
ORC4	10	59
RHO1	2	7
NUT2	11	451
JIP5	24	704
DPB2	24	388
BET2	8	18
YPR177C	12	140
PRP4	45	1289
AOS1	5	26
SEC23	26	338
SMX3	1	0
DPM1	12	197
PZF1	11	98
RPO26	8	60
RPC82	18	251
