Gene name	Number of transposons per gene	Number of reads per gene
ERG7	20	513
NOP10	0	0
QNS1	26	600
KSP1	72	2413
SAM35	9	167
STE12	47	1684
IPI1	5	34
NAM8	58	1844
RPF1	1	0
SFB3	66	2220
BIG1	4	32
CDC12	4	27
ORC6	15	135
YHR122W	23	922
RPC10	0	0
IMP3	17	427
DNA2	39	958
CDC23	41	1539
NMD3	17	389
SPC97	29	537
KOG1	45	1265
GPI16	26	395
ERG9	27	538
UTP9	32	544
RIX1	13	186
CFD1	27	1400
BET1	4	35
FAF1	16	182
RPB3	20	499
TIM44	12	148
IRR1	55	1091
ULP2	67	1972
MET30	33	484
NEO1	27	354
MMF1	30	1460
SNP1	23	143
ARC15	6	79
YRB2	13	135
SEC6	28	502
RPN2	46	1556
THS1	27	674
CAB2	9	296
UTP25	44	955
SHQ1	23	430
MOB1	8	95
SEC24	42	914
NUP159	54	1480
RHO3	15	451
STH1	31	703
TAO3	134	3440
CCT2	21	359
SSL2	44	889
NDC80	27	669
SLN1	34	627
MCM10	30	1271
DJP1	58	3023
PAN1	185	6129
PRI1	4	58
DSN1	24	283
STS1	12	284
SQT1	25	436
RPR2	11	58
SEC11	4	9
PRE3	8	111
OST1	12	123
CYR1	96	2564
CCT8	24	775
YJL009W	15	763
NOP9	31	390
RPC17	6	101
CCT3	9	76
YJL015C	55	4640
MPS3	77	2987
RRN7	21	477
RNR2	23	467
BET4	4	6
YJL032W	1	0
HCA4	24	413
KAR2	19	288
TAD2	11	177
NUP192	45	696
NSP1	13	167
MTR4	41	743
TIM54	20	392
NUP82	15	292
UTP18	14	307
PSF2	12	414
SMC3	32	949
NET1	69	1823
ARP4	4	88
EXO70	21	238
YJL086C	29	771
TRL1	17	214
DPB11	23	372
GWT1	8	187
PHS1	12	197
PAM16	2	1
IME2	44	826
UTP10	64	1141
CCT7	8	229
ASF1	14	121
MTC1	34	756
GCD14	17	386
TIM17	11	89
SSY5	37	931
FAR1	92	4248
TPK1	32	926
ERG20	12	192
RFA3	0	0
KRE9	4	63
CDC6	4	7
YJL195C	2	2
YJL202C	9	92
PRP21	15	152
MPP10	37	914
MRX12	147	6549
POL31	6	32
SUI2	23	541
YJR012C	51	2829
GPI14	10	81
ILV3	26	241
ESS1	10	193
LSM8	3	10
YJR023C	6	16
URB2	22	462
NUP85	23	254
SSC1	1	0
TAH11	9	113
CDC8	7	15
CCT5	32	821
ARP3	23	326
YAE1	2	3
RFC2	13	107
NPA3	35	796
CDC11	33	680
FIP1	10	287
SFC1	34	845
NNF1	7	88
RPS5	2	1
YJR141W	4	15
AUR1	25	601
SFT1	21	989
PRP40	42	1027
ARC19	0	0
URB1	72	1760
SWD2	16	161
RAM2	19	251
MAK11	35	1371
CDC16	69	3324
URA6	7	45
TFA1	25	524
TTI1	34	811
UGP1	22	347
YKL036C	56	1815
SPC42	12	193
PRI2	28	429
CSE4	6	20
ASK1	32	874
TOA2	4	31
MPE1	38	924
FBA1	8	23
DHR2	15	153
RRP14	12	233
YKL083W	2	3
CAB3	27	514
MIF2	5	9
YJU2	13	231
UTP11	10	153
HSL1	79	1466
GFA1	20	300
SLD2	18	246
YKL111C	16	356
ABF1	25	428
SRP21	7	51
RRN3	17	215
HSK3	4	11
SDH3	7	88
RPC25	6	31
RPT1	9	51
GPM1	4	34
YKL153W	2	7
SRP102	9	154
MCD4	35	620
TPK3	30	988
EBP2	8	131
SNU114	23	442
RPL17A	2	1
FAS1	52	805
MTR2	11	145
HYM1	25	342
ACP1	4	3
SDS22	8	66
MIA40	5	58
YKT6	8	41
TOR2	97	2261
LOS1	76	2734
UBA1	17	155
PAP1	24	1310
ECM9	36	838
RSC4	23	440
NTR2	19	284
RPC37	7	86
SPC34	12	172
KAE1	17	361
RPS21A	16	187
TFA2	0	0
LAS1	18	372
BET3	17	305
DRE2	22	521
TRZ1	29	574
RPF2	13	232
DAD2	5	29
PRP16	49	1239
SFI1	43	2015
ORC3	19	218
DRS1	30	717
SOF1	28	812
DPS1	17	327
GPI13	30	926
RIX7	21	314
GRC3	14	409
PRP19	6	48
YLL037W	12	210
COF1	9	503
NOC3	19	240
SSL1	25	482
NSE1	28	526
PAM18	3	4
RLP24	2	1
TEN1	1	0
GAT3	13	167
SDO1	18	301
SED5	6	160
RPL15A	6	25
RSC58	7	18
STU2	41	738
FCF2	18	605
REX2	79	4504
FRS1	25	459
SPC3	6	33
RGR1	43	810
RPL10	4	13
YLR076C	2	2
BOS1	11	204
SMC4	33	415
GAA1	34	778
HRT3	21	466
MIM2	6	24
ERG27	14	171
YLR101C	9	134
CDC45	15	255
SEN2	8	172
MDN1	108	2178
CFT2	17	222
MSL5	18	256
CLF1	38	834
APC2	24	349
DIP2	20	268
USB1	9	40
YLR140W	18	661
RRN5	10	150
RMP1	6	22
SMD3	2	2
ACS2	35	737
MAS1	18	167
SEC10	21	175
RPS31	8	73
CBF5	11	246
EMG1	11	158
NMT1	1	0
PWP1	42	1191
NOP56	5	21
YLR198C	2	1
SEC13	17	328
TUB4	12	166
CDC123	9	173
CCC1	19	472
UTP13	19	356
IFH1	47	1414
CDC42	3	38
YLR230W	4	74
GPN3	2	4
YEF3	18	388
HSP60	9	29
YCS4	27	565
MCM5	19	510
SMD2	9	91
DBP9	1	0
YSH1	21	199
GCD7	6	81
YHC1	15	381
STT4	52	1405
CDC25	53	1907
CDC3	28	457
TAD3	16	202
YLR317W	4	31
SFH1	26	667
CWC24	15	214
RPS25B	11	200
SGD1	34	632
YLR339C	0	0
RPP0	0	0
RPL26A	20	309
KAP95	24	455
ILV5	27	399
ADE13	8	28
STP3	34	1108
SEC61	23	359
YLR379W	8	219
AFG2	20	490
SFP1	39	740
UTP21	30	510
SPP382	17	391
SEN1	44	738
LSM3	1	0
SEC39	13	398
NBP1	13	188
YLR458W	8	53
GAB1	0	0
SPT5	48	1496
TAF11	6	29
NSE5	25	582
YML6	20	334
NDC1	23	715
RRN11	7	55
PRP39	16	159
RSE1	73	2782
TEM1	5	108
ORC1	31	819
ITT1	26	753
POB3	11	131
BET5	6	53
TUB1	9	76
RPM2	44	819
PRE8	1	0
UTP14	54	1840
TAF13	1	0
SEC65	4	3
TAF8	20	521
PGA3	14	180
ERG13	27	456
RSC9	23	386
MSC1	46	1326
ERO1	21	341
CDC5	15	195
TAF4	15	89
SEC59	24	555
TAP42	14	240
HOF1	46	1642
ARP9	5	21
MCM1	7	91
NUP116	48	815
ERB1	18	187
SEN15	4	40
RNA14	23	181
MOT3	13	64
TVP18	14	594
PDS5	31	674
SEC14	7	118
UTP15	25	620
CTF13	7	165
MED11	7	41
FOL3	13	256
SPC24	4	6
ECM16	46	1334
RRB1	14	124
ERG29	12	126
PSO2	44	1470
TIF34	14	364
SWP1	12	122
MSS11	26	398
CEP3	18	360
SPT21	54	1528
RTP1	31	585
VTI1	5	38
CIK1	24	473
ROT1	12	126
TOM40	6	144
ERG12	18	321
DML1	8	98
CEF1	23	351
TRS130	22	279
ERG8	19	235
TAF7	15	121
RRP5	46	941
RNA1	13	180
TAF9	2	8
RNT1	16	364
CUS1	33	1342
TIF11	2	4
PRP24	7	35
RRN9	11	160
FCP1	15	107
GPI12	5	62
HSH155	27	613
HAS1	12	111
YMR290W-A	10	86
LCB1	14	258
LIP1	2	6
ATM1	22	522
PSE1	20	327
NIP1	22	656
PRE5	7	198
RLP7	7	85
LST8	4	33
SIS1	9	77
ARK1	84	2855
KSH1	7	54
SAM50	7	50
GPI15	8	155
BDP1	18	630
NOP2	20	979
GCD10	25	922
IMP4	9	101
TOP2	28	441
POL1	68	2124
MET4	14	164
NOP15	4	27
DBP2	57	1026
RPC19	0	0
YNL114C	5	60
DCP2	31	857
NAF1	21	504
SPC98	33	876
TOM22	0	0
KRE33	23	501
NAM9	35	1111
YSF3	8	83
PGA2	2	1
YNL150W	2	1
RPC31	12	319
INN1	11	308
PGA1	7	35
CBK1	37	776
RPL42A	13	214
RIA1	38	628
APC1	59	1466
RPS3	1	0
YNL181W	11	66
IPI3	16	261
KAR1	4	20
SRP1	5	44
RIO2	9	28
RAP1	43	1256
POP1	36	731
SSU72	5	18
CSL4	12	249
NAR1	23	340
SUI1	10	29
CWC25	6	74
YNL247W	29	529
NRD1	19	305
FOL1	18	400
DSL1	39	1364
LTO1	7	80
ORC5	7	74
POL2	87	2119
YIF1	10	178
PIK1	27	508
SEC2	20	323
POP3	26	902
SEC21	40	489
RFC3	13	249
MRPS18	15	56
KRI1	7	95
ZIM17	13	295
RFA2	2	2
EMW1	22	420
